id,campaign,model,time
10073,LCD_BQP_GW-80T_Q221,GW2480T,2021/6/25 09:39
10074,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/25 09:41
10075,PRJ_BQA_Portable Projector 2020,GS2,2021/6/25 09:43
10077,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/25 09:50
10078,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/25 09:57
10080,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/25 10:03
10081,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/25 10:05
10082,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/25 10:09
10083,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/25 10:13
10084,LCD_BQP_AQCOLOR_Q221,SW271C,2021/6/25 10:14
10085,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/25 22:54
10086,PRJ_BQA_ProfessionalInfluencer,V7050i,2021/6/26 05:46
10087,IFP_BQP_Influencer content_Q221,RM02,2021/6/26 06:34
10088,IFP_BQP_Influencer content_Q221,RM02,2021/6/26 06:44
10089,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/28 13:21
10090,ESD_BQP_XL-K_Q221,XL2546K,2021/6/28 13:34
10091,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/28 13:43
10092,PRJ_BQuk_Gaming Projector_2021 1H,TK700STi,2021/6/28 15:12
10093,PRJ_BQuk_Portable Projector_2021 1H,GS2,2021/6/28 15:38
10094,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/28 16:04
10095,WTG_BQE_Screenbar,WiT ScreenBar Plus,2021/6/28 16:09
10096,ESD_BQP_XL-K_Q221,XL2546K,2021/6/28 18:11
10097,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/28 22:10
10098,GGP_BQE_Zowie Gear,mouse fitting kit,2021/6/28 22:16
10099,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/28 22:30
10100,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/28 22:41
10101,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/28 22:41
10102,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/28 22:54
10103,WTG_BQE_Screenbar,WiT ScreenBar,2021/6/28 23:10
10106,WTG_BQE_Screenbar,WiT ScreenBar Plus,2021/6/28 23:17
10107,WTG_BQE_Screenbar,WiT ScreenBar Plus,2021/6/28 23:22
10108,ESD_BQE_Zowie XL-Series Monitor,XL2411K,2021/6/29 00:14
10109,GGP_BQE_Zowie Gear,mouse fitting kit,2021/6/29 00:15
10110,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/29 00:28
10111,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/29 00:36
10112,GGP_BQE_Zowie Gear,mouse fitting kit,2021/6/29 00:37
10113,GGP_BQE_Zowie Gear,mouse fitting kit,2021/6/29 01:00
10114,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/29 01:09
10115,PRJ_BQE_Home Entertainment,X1300i,2021/6/29 04:59
10116,PRJ_BQE_Home Entertainment,TK700STi,2021/6/29 05:15
10117,"LCD_BQE_Eye-Care Monitor (EL&EX, Casual Game)",EX3415R,2021/6/29 05:19
10118,"LCD_BQE_Eye-Care Monitor (EL&EX, Casual Game)",EX3415R,2021/6/29 05:25
10119,ESD_BQbr_H1_2021,XL2546K,2021/6/29 05:41
10120,IFP_BQP_Influencer content_Q221,RP02,2021/6/29 11:24
10121,IFP_BQP_Influencer content_Q221,CP01,2021/6/29 11:28
10122,IFP_BQP_Influencer content_Q221,RP02,2021/6/29 11:31
10123,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/29 12:37
10124,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/29 12:42
10125,LCD_BQP_GW-80T_Q221,GW2780T,2021/6/29 12:48
10126,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/29 13:17
10127,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/29 14:03
10128,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/29 14:03
10129,LCD_BQP_MOBIUZ_Q221,EX2710Q,2021/6/29 14:05
10130,PRJ_BQP_Portable PRJ_Q221,GV1 (HDMI),2021/6/29 14:17
10131,PRJ_BQP_Portable PRJ_Q221,GV1 (HDMI),2021/6/29 14:24
10132,ESD_BQP_XL-K_Q221,XL2546K,2021/6/29 14:27
10133,PRJ_BQA_Gaming Projector_2021 1H,TK700STi,2021/6/29 14:30
10134,PRJ_BQA_4K Laser TV_2021 2H,V7050i,2021/6/29 14:32
